TTLAYER OUTPUT FILE
--------------------------------------------------------------------------------
 input 
 Maximum delta in km:   15.0
 Delta increment in km:    0.0
 Hypocentral depth in km:    5.0
 Phase type:  
--------------------------------------------------------------------------------
 output (layer=layer model, grad=gradient model
    distance  tp (layer)   tp (grad)  ts (layer)   ts (grad)
--------------------------------------------------------------------------------
       0.000       2.345       1.224       2.625       1.872
       0.010       2.345       5.640       2.625       4.928
       0.020       2.345       5.642       2.625       4.931
       0.030       2.345       5.644       2.625       4.935
       0.040       2.345       5.645       2.625       4.938
       0.050       2.345       5.647       2.625       4.941
       0.060       2.345       5.649       2.625       4.944
       0.070       2.345       5.651       2.625       4.947
       0.080       2.345       5.652       2.625       4.950
       0.090       2.345       5.654       2.625       4.953
       0.100       2.345       5.656       2.625       4.956
       0.110       2.345       5.658       2.626       4.960
       0.120       2.345       5.659       2.626       4.963
       0.130       2.345       5.661       2.626       4.966
       0.140       2.345       5.663       2.626       4.969
       0.150       2.346       5.664       2.626       4.972
       0.160       2.346       5.666       2.626       4.975
       0.170       2.346       5.668       2.626       4.978
       0.180       2.346       5.670       2.626       4.981
       0.190       2.346       5.671       2.627       4.985
       0.200       2.346       5.673       2.627       4.988
       0.210       2.346       5.675       2.627       4.991
       0.220       2.346       5.676       2.627       4.994
       0.230       2.346       5.678       2.627       4.997
       0.240       2.347       5.680       2.628       5.000
       0.250       2.347       5.682       2.628       5.003
       0.260       2.347       5.683       2.628       5.006
       0.270       2.347       5.685       2.628       5.010
       0.280       2.347       5.687       2.629       5.013
       0.290       2.347       5.689       2.629       5.016
       0.300       2.348       5.690       2.629       5.019
       0.310       2.348       5.692       2.629       5.022
       0.320       2.348       5.694       2.630       5.025
       0.330       2.348       5.695       2.630       5.028
       0.340       2.348       5.697       2.630       5.032
       0.350       2.349       5.699       2.631       5.035
       0.360       2.349       5.701       2.631       5.038
       0.370       2.349       5.702       2.631       5.041
       0.380       2.349       5.704       2.632       5.044
       0.390       2.350       5.706       2.632       5.047
       0.400       2.350       5.708       2.632       5.050
       0.410       2.350       5.709       2.633       5.053
       0.420       2.350       5.711       2.633       5.057
       0.430       2.351       5.713       2.634       5.060
       0.440       2.351       5.714       2.634       5.063
       0.450       2.351       5.716       2.634       5.066
       0.460       2.351       5.718       2.635       5.069
       0.470       2.352       5.720       2.635       5.072
       0.480       2.352       5.721       2.636       5.075
       0.490       2.352       5.723       2.636       5.078
       0.500       2.353       5.725       2.637       5.082
