TTLAYER OUTPUT FILE
--------------------------------------------------------------------------------
 input 
 Maximum delta in km:   15.0
 Delta increment in km:    0.1
 Hypocentral depth in km:    7.0
 Phase type:  
--------------------------------------------------------------------------------
 output (layer=layer model, grad=gradient model
    distance  tp (layer)   tp (grad)  ts (layer)   ts (grad)
--------------------------------------------------------------------------------
       0.000       3.323       2.238       5.782       3.894
       0.100       3.323       2.931       5.782       5.100
       0.200       3.324       2.943       5.783       5.121
       0.300       3.325       2.955       5.785       5.141
       0.400       3.327       2.967       5.788       5.162
       0.500       3.329       2.979       5.792       5.183
       0.600       3.332       2.991       5.797       5.204
       0.700       3.335       3.003       5.803       5.225
       0.800       3.339       3.015       5.809       5.246
       0.900       3.343       3.027       5.816       5.266
       1.000       3.347       3.039       5.824       5.287
       1.100       3.352       3.051       5.833       5.308
       1.200       3.358       3.063       5.843       5.329
       1.300       3.364       3.075       5.853       5.350
       1.400       3.370       3.087       5.864       5.371
       1.500       3.377       3.099       5.876       5.391
       1.600       3.384       3.111       5.889       5.412
       1.700       3.392       3.122       5.902       5.433
       1.800       3.400       3.135       5.916       5.454
       1.900       3.409       3.146       5.931       5.475
       2.000       3.418       3.158       5.947       5.496
       2.100       3.427       3.170       5.963       5.517
       2.200       3.437       3.182       5.980       5.538
       2.300       3.447       3.194       5.997       5.558
       2.400       3.457       3.206       6.016       5.579
       2.500       3.468       3.219       6.034       5.600
       2.600       3.479       3.231       6.054       5.621
       2.700       3.489       3.243       6.072       5.642
       2.800       3.501       3.255       6.092       5.663
       2.900       3.513       3.267       6.113       5.684
       3.000       3.525       3.279       6.134       5.705
       3.100       3.538       3.291       6.156       5.726
       3.200       3.550       3.303       6.178       5.747
       3.300       3.563       3.315       6.200       5.767
       3.400       3.577       3.327       6.223       5.788
       3.500       3.590       3.339       6.246       5.809
       3.600       3.603       3.351       6.270       5.830
       3.700       3.617       3.363       6.293       5.851
       3.800       3.630       3.375       6.317       5.872
       3.900       3.644       3.387       6.340       5.893
       4.000       3.657       3.399       6.364       5.914
       4.100       3.671       3.411       6.387       5.935
       4.200       3.684       3.423       6.411       5.956
       4.300       3.698       3.435       6.435       5.977
       4.400       3.712       3.447       6.458       5.998
       4.500       3.725       3.459       6.482       6.019
       4.600       3.739       3.471       6.505       6.040
       4.700       3.752       2.580       6.529       6.061
       4.800       3.766       2.593       6.552       4.511
       4.900       3.779       2.605       6.576       4.533
       5.000       3.793       2.617       6.599       4.554
       5.100       3.806       2.630       6.623       4.576
       5.200       3.820       2.642       6.646       4.597
       5.300       3.833       2.654       6.670       4.619
       5.400       3.847       2.667       6.693       4.640
       5.500       3.860       2.679       6.717       4.662
       5.600       3.874       2.691       6.741       4.683
       5.700       3.887       2.704       6.764       4.705
       5.800       3.901       2.716       6.788       4.726
       5.900       3.914       2.729       6.811       4.748
       6.000       3.928       2.741       6.835       4.769
       6.100       3.942       2.753       6.858       4.791
       6.200       3.955       2.766       6.882       4.812
       6.300       3.969       2.778       6.905       4.834
       6.400       3.982       2.790       6.929       4.855
       6.500       3.996       2.803       6.952       4.877
       6.600       4.009       2.815       6.976       4.898
       6.700       4.023       2.827       7.000       4.920
       6.800       4.036       2.840       7.023       4.941
       6.900       4.050       2.852       7.047       4.963
       7.000       4.063       2.864       7.070       4.984
       7.100       4.077       2.877       7.094       5.006
       7.200       4.090       2.889       7.117       5.027
       7.300       4.104       2.902       7.141       5.049
       7.400       4.117       2.914       7.164       5.070
       7.500       4.131       2.926       7.188       5.092
       7.600       4.144       2.939       7.211       5.113
       7.700       4.158       2.951       7.235       5.135
       7.800       4.172       2.963       7.258       5.156
       7.900       4.185       2.976       7.282       5.178
       8.000       4.199       2.988       7.306       5.199
       8.100       4.212       3.000       7.329       5.221
       8.200       4.226       3.013       7.353       5.242
       8.300       4.239       3.025       7.376       5.264
       8.400       4.253       3.038       7.400       5.285
       8.500       4.266       3.050       7.423       5.307
       8.600       4.280       3.062       7.447       5.328
       8.700       4.293       3.075       7.470       5.350
       8.800       4.307       3.087       7.494       5.371
       8.900       4.320       3.099       7.517       5.393
