TTLAYER OUTPUT FILE
--------------------------------------------------------------------------------
 input 
 Maximum delta in km:   15.0
 Delta increment in km:    0.1
 Hypocentral depth in km:    7.0
 Phase type:  
--------------------------------------------------------------------------------
 output (layer=layer model, grad=gradient model
    distance  tp (layer)   tp (grad)  ts (layer)   ts (grad)
--------------------------------------------------------------------------------
       0.000       3.812       3.232       6.633       5.624
       0.100       3.812       4.314       6.633       7.489
       0.200       3.813       4.339       6.635       7.550
       0.300       3.815       4.357       6.638       7.579
       0.400       3.817       4.379       6.642       7.620
       0.500       3.821       4.402       6.648       7.659
       0.600       3.825       4.424       6.655       7.697
       0.700       3.829       4.445       6.663       7.735
       0.800       3.835       4.467       6.672       7.772
       0.900       3.840       4.488       6.682       7.809
       1.000       3.847       4.510       6.694       7.847
       1.100       3.854       4.532       6.706       7.886
       1.200       3.862       4.553       6.720       7.923
       1.300       3.871       4.575       6.735       7.962
       1.400       3.880       4.597       6.751       7.998
       1.500       3.890       4.619       6.769       8.036
       1.600       3.901       4.640       6.787       8.074
       1.700       3.912       4.662       6.807       8.112
       1.800       3.924       4.684       6.828       8.150
       1.900       3.936       4.705       6.849       8.187
       2.000       3.950       4.727       6.872       8.225
       2.100       3.963       4.749       6.896       8.263
       2.200       3.978       4.771       6.921       8.301
       2.300       3.993       4.792       6.947       8.338
       2.400       4.008       4.814       6.974       8.377
       2.500       4.024       4.836       7.002       8.414
       2.600       4.041       4.858       7.031       8.452
       2.700       4.058       4.879       7.061       8.490
       2.800       4.074       4.901       7.089       8.528
       2.900       4.092       4.923       7.121       8.566
       3.000       4.111       4.944       7.153       8.603
       3.100       4.130       4.966       7.186       8.641
       3.200       4.149       4.988       7.220       8.679
       3.300       4.169       5.010       7.255       8.717
       3.400       4.190       5.031       7.290       8.755
       3.500       4.211       5.053       7.326       8.792
       3.600       4.232       5.075       7.363       8.830
       3.700       4.254       5.097       7.401       8.868
       3.800       4.276       5.118       7.440       8.906
       3.900       4.297       5.140       7.477       8.944
       4.000       4.320       5.162       7.516       8.982
       4.100       4.342       5.183       7.555       9.019
       4.200       4.364       5.205       7.594       9.057
       4.300       4.386       5.227       7.632       9.095
       4.400       4.409       5.249       7.671       9.132
       4.500       4.431       5.270       7.710       9.170
       4.600       4.453       5.292       7.748       9.208
       4.700       4.475       5.314       7.787       9.246
       4.800       4.498       5.336       7.826       9.284
